id	nev	hosszusag	szelesseg
1463	Vassurány	1002,37	2837,05
1464	Esztár	1306,45	2837,02
1465	Püspökladány	1270,38	2837,02
1466	Söpte	999,18	2837,02
1467	Csataszög	1223,03	2837
1468	Nyárád	1041,79	2836,99
1469	Karcag	1258,72	2836,98
1470	Baracska	1125,43	2836,86
1471	Isztimér	1091,67	2836,81
1472	Vát	1006,66	2836,81
1473	Dunavarsány	1144,11	2836,77
1474	Bakonynána	1078,41	2836,68
1475	Nagykörű	1227,13	2836,63
1476	Pátka	1109,63	2836,63
1477	Nagyesztergár	1074,43	2836,62
1478	Nemesszalók	1038,01	2836,62
1479	Ráckeresztúr	1129,76	2836,6
1480	Nóráp	1047,61	2836,33
1481	Zagyvarékas	1207,95	2836,22
1482	Tokorcs	1026,03	2836,19
1483	Újszilvás	1194,86	2836,17
1484	Nemesbőd	1004,14	2836,15
1485	Szigetcsép	1137,83	2836,09
1486	Pápakovácsi	1049,37	2835,9
1487	Kincsesbánya	1096,46	2835,88
1488	Nagysimonyi	1023,99	2835,88
1489	Bucsu	989,59	2835,84
1490	Majosháza	1139,77	2835,82
1491	Zirc	1072,59	2835,75
1492	Nyáregyháza	1170,12	2835,68
1493	Fegyvernek	1231,65	2835,64
1494	Tés	1081,95	2835,53
1495	Inárcs	1159,79	2835,52
1496	Celldömölk	1029,18	2835,47
1497	Nadap	1117,17	2835,44
1498	Báránd	1276,84	2835,33
1499	Sáp	1281,5	2835,28
1500	Sárvár	1015,85	2835,26
1501	Sárkeresztes	1101,38	2835,18
1502	Sárszentmihály	1101,38	2835,18
1503	Bakonybél	1063,76	2835,17
1504	Bögöt	1009,93	2835,13
1505	Délegyháza	1144,1	2835,13
1506	Hencida	1301,95	2835,02
1507	Ercsi	1133,72	2834,97
1508	Kup	1047,96	2834,93
1509	Kismarja	1309,26	2834,82
1510	Bakonykúti	1091,84	2834,78
1511	Dabrony	1039,69	2834,62
1512	Moha	1100,05	2834,62
1513	Sitke	1021,52	2834,62
1514	Iszkaszentgyörgy	1097,9	2834,6
1515	Olaszfalu	1074,71	2834,59
1516	Sé	993,37	2834,58
1517	Kakucs	1161,93	2834,53
1518	Kápolnásnyék	1120,82	2834,51
1519	Albertirsa	1177,07	2834,5
1520	Adorjánháza	1034,47	2834,45
1521	Porpác	1008,2	2834,44
1522	Sukoró	1115,99	2834,4
1523	Velence	1119,28	2834,32
1524	Csénye	1012,16	2834,24
1525	Torony	992,36	2834,21
1526	Egeralja	1034,51	2834,19
1527	Gáborján	1299,75	2834,19
1528	Narda	987,7	2834,17
1529	Dozmat	990,73	2834,08
1530	Szentpéterszeg	1297,05	2834,06
1531	Szigetújfalu	1135,72	2834,02
1532	Szombathely	997,22	2834,01
1533	Ganna	1051,92	2833,95
1534	Nagyalásony	1041,41	2833,94
1535	Vép	1003,49	2833,92
1536	Pénzesgyőr	1067,32	2833,9
1537	Pápasalamon	1045,35	2833,83
1538	Döbrönte	1052,91	2833,77
1539	Bihardancsháza	1279,04	2833,76
1540	Szigetszentmárton	1137,57	2833,73
1541	Újlengyel	1167,21	2833,73
1542	Bakonyjákó	1056,2	2833,62
1543	Bugyi	1148,92	2833,6
1544	Áporka	1140,76	2833,59
1545	Berettyóújfalu	1292,25	2833,53
1546	Mesteri	1025,38	2833,53
1547	Ceglédbercel	1180,22	2833,4
1548	Újhartyán	1163,59	2833,22
1549	Tiszapüspöki	1219,23	2833,08
1550	Kenderes	1243,69	2833,07
1551	Csögle	1035,44	2833,05
1552	Németbánya	1058,71	2833,05
1553	Gérce	1021,03	2833,02
1554	Pákozd	1112,64	2832,98
1555	Bihartorda	1281,38	2832,96
1556	Vid	1040,23	2832,88
1557	Felsőcsatár	986,72	2832,86
1558	Megyehid	1010,61	2832,77
1559	Eplény	1074,88	2832,72
1560	Dánszentmiklós	1173,06	2832,66
1561	Bakonypölöske	1049,42	2832,55
1562	Bozzai	1005,86	2832,53
1563	Kemeneskápolna	1026,36	2832,53
1564	Vásárosmiske	1023,79	2832,53
1565	Ikervár	1013,88	2832,51
1566	Lókút	1072,2	2832,34
1567	Csór	1095,34	2832,3
1568	Nagyrábé	1279,99	2832,27
1569	Gárdony	1117,99	2832,26
1570	Bucsa	1259,87	2832,24
1571	Farkasgyepű	1058,02	2832,22
1572	Pecöl	1009,33	2832,21
1573	Várpalota	1088,46	2832,21
1574	Kenéz	1007,53	2832,2
1575	Váncsod	1298,49	2832,2
1576	Nemeskocs	1031,33	2832,09
1577	Sárrétudvari	1274,43	2832,06
1578	Nagypirit	1033,6	2831,94
1579	Kisszőlős	1039,84	2831,9
1580	Kispirit	1034,54	2831,89
1581	Kiscsősz	1036,82	2831,86
1582	Sótony	1016,97	2831,86
1583	Táplánszentkereszt	1002,12	2831,84
1584	Somlóvecse	1041,14	2831,66
1585	Bojt	1304,02	2831,62
1586	Vaskeresztes	986,97	2831,61
1587	Nárai	993,25	2831,6
1588	Örményes	1234,84	2831,59
1589	Abony	1200,72	2831,56
1590	Tanakajd	1004,19	2831,54
1591	Szerep	1271,62	2831,52
1592	Besnyő	1127,74	2831,47
1593	Köcsk	1025,92	2831,47
1594	Bakonszeg	1286,66	2831,35
1595	Nagykereki	1307,83	2831,19
1596	Kisújszállás	1248,65	2831,12
1597	Hárskút	1068,88	2831,11
1598	Boba	1031,32	2831,07
1599	Kiskunlacháza	1140,43	2831,05
1600	Beloiannisz	1129,5	2831,01
1601	Noszlop	1047,57	2830,95
1602	Nyőgér	1016,25	2830,91
1603	Vasszécseny	1006,13	2830,91
1604	Dabas	1158,95	2830,89
1605	Törökszentmiklós	1225,04	2830,89
1606	Csehbánya	1061,13	2830,85
1607	Horvátlövő	987,68	2830,84
1608	Szolnok	1211,25	2830,76
1609	Szajol	1218,26	2830,67
1610	Somlószőlős	1041,47	2830,4
1611	Biharnagybajom	1277,11	2830,39
1612	Pusztavacs	1170,14	2830,35
1613	Cegléd	1187,91	2830,25
1614	Egyházashetye	1027,27	2830,21
1615	Magyarpolány	1052,81	2830,1
1616	Iszkáz	1037,95	2830,01
1617	Öskü	1084,57	2829,97
1618	Mezőpeterd	1297,25	2829,93
1619	Doba	1042,56	2829,92
1620	Hernád	1164,46	2829,92
1621	Kerta	1036,49	2829,9
1622	Meggyeskovácsi	1012,26	2829,89
1623	Bedő	1305,09	2829,83
1624	Káld	1022,67	2829,83
1625	Borgáta	1024,92	2829,74
1626	Pétfürdő	1087,24	2829,62
1627	Balogunyom	999,02	2829,54
1628	Sárkeszi	1097,19	2829,53
1629	Mikebuda	1176,99	2829,51
1630	Ráckeve	1136,69	2829,5
1631	Iváncsa	1129,75	2829,4
1632	Csempeszkopács	1008,5	2829,39
1633	Pornóapáti	988,11	2829,37
1634	Oroszi	1045,02	2829,32
1635	Kertészsziget	1263,72	2829,31
1636	Ősi	1091,42	2829,24
1637	Bejcgyertyános	1015,42	2829,03
1638	Kamond	1032,24	2829
1639	Ecsegfalva	1255,54	2828,76
1640	Hajmáskér	1081,15	2828,76
1641	Kislőd	1057,38	2828,74
1642	Kisunyom	998,44	2828,72
1643	Kissomlyó	1026,2	2828,68
1644	Városlőd	1059,05	2828,67
1645	Ják	994,77	2828,58
1646	Pusztaszabolcs	1125,83	2828,49
1647	Nádasdladány	1094,3	2828,38
1648	Sorkikápolna	1002,41	2828,33
1649	Tiszatenyő	1222,86	2828,32
1650	Kemenespálfa	1030,42	2828,24
1651	Zsáka	1285,96	2828,15
1652	Sorokpolány	1000,31	2828,14
1653	Sorkifalud	1004,3	2828,11
1654	Borszörcsök	1044,31	2828,08
1655	Herend	1065,23	2827,99
1656	Karakószörcsök	1037,26	2827,9
1657	Rábatöttös	1008,6	2827,88
1658	Úrhida	1099,85	2827,87
1659	Szigetbecse	1136,97	2827,8
1660	Sóly	1081,96	2827,79
1661	Zichyújfalu	1120,32	2827,79
1662	Biharkeresztes	1303,34	2827,76
1663	Örkény	1165,94	2827,75
1664	Furta	1287,73	2827,73
1665	Rum	1010,73	2827,7
1666	Kuncsorba	1233,43	2827,57
1667	Márkó	1068,82	2827,5
1668	Somlójenő	1041,28	2827,47
1669	Ártánd	1305,66	2827,45
1670	Gyanógeregye	1005,97	2827,39
1671	Adony	1131,87	2827,38
1672	Bánd	1067,16	2827,3
1673	Jánosháza	1029,84	2827,28
1674	Egervölgy	1014,39	2827,23
1675	Somlóvásárhely	1042,76	2827,21
1676	Törtel	1196,05	2827,14
1677	Berhida	1088,19	2827,12
1678	Told	1298,55	2827,11
1679	Tüskevár	1038,83	2827,1
1680	Karakó	1032,11	2827
1681	Lovasberény	1102	2827
1682	Szabadbattyán	1102	2827
1683	Csemő	1181,72	2826,97
1684	Lórév	1133,99	2826,96
1685	Vashosszúfalu	1023,75	2826,9
1686	Zsennye	1008,94	2826,83
1687	Szentgál	1064,03	2826,82
1688	Seregélyes	1114,8	2826,77
1689	Apácatorna	1037,76	2826,74
1690	Apaj	1145,42	2826,7
1691	Mezősas	1294,12	2826,61
1692	Vilonya	1083,72	2826,6
1693	Kám	1013,38	2826,57
1694	Királyszentistván	1082,65	2826,52
1695	Kisberzseny	1036,04	2826,38
1696	Devecser	1046,24	2826,37
1697	Füzesgyarmat	1272,89	2826,29
1698	Szemenye	1014,5	2826,16
1699	Jenő	1094,88	2826,12
1700	Kőröstetétlen	1201,52	2826,11
1701	Darvas	1280,34	2826,09
1702	Tószeg	1208,71	2826,05
1703	Nyársapát	1188,11	2826,02
1704	Táborfalva	1168,93	2826,02
1705	Ajka	1053,7	2825,94
1706	Litér	1080,49	2825,91
1707	Zalaszegvár	1033,5	2825,88
1708	Vekerd	1284,19	2825,83
1709	Veszprémgalsa	1036,27	2825,82
1710	Kengyel	1220,41	2825,77
1711	Hosszúpereszteg	1021,49	2825,74
1712	Kőszárhegy	1100,62	2825,71
1713	Nemesrempehollós	1001,03	2825,66
1714	Szentpéterfa	989,15	2825,61
1715	Rákóczifalva	1213,69	2825,58
1716	Nemeskeresztúr	1031,63	2825,54
1717	Románd	1074,66	2825,49
1718	Veszprém	1074,66	2825,49
1719	Dömsöd	1140,79	2825,47
1720	Püspökmolnári	1007,58	2825,43
1721	Papkeszi	1085,07	2825,38
1722	Makád	1135,91	2825,31
1723	Duka	997,04	2825,27
1724	Egyházasrádóc	997,04	2825,27
1725	Hosztót	1034,71	2825,2
1726	Kolontár	1048,63	2825,19
1727	Bögöte	1022,88	2825,07
1728	Úrkút	1058,62	2824,99
1729	Tác	1104,06	2824,97
1730	Tatárszentgyörgy	1162,2	2824,88
1731	Zalameggyes	1033,27	2824,87
1732	Alsóújlak	1011,25	2824,85
1733	Rádóckölked	995,47	2824,68
1734	Szentimrefalva	1036,86	2824,63
1735	Bodorfa	1040,67	2824,61
1736	Szabadegyháza	1121,52	2824,59
1737	Nemeskolta	998,3	2824,58
1738	Keléd	1027,05	2824,55
1739	Kétpó	1228,94	2824,5
1740	Csipkerek	1016,68	2824,44
1741	Túrkeve	1247,53	2824,32
1742	Rábahidvég	1004,76	2824,3
1743	Nemeshany	1042,14	2824,21
1744	Nagykölked	993,27	2824,09
1745	Balatonfűzfő	1082,31	2824,05
1746	Káptalanfa	1040,75	2823,97
1747	Küngös	1090,4	2823,96
1748	Felsőlajos	1169,73	2823,94
1749	Rigács	1033	2823,9
1750	Tiszavárkony	1211,16	2823,89
1751	Megyer	1031,66	2823,75
1752	Pusztamiske	1046,99	2823,74
1753	Berekböszörmény	1300,87	2823,73
1754	Kunpeszér	1156,6	2823,71
1755	Rákocziújfalu	1215,98	2823,67
1756	Polgárdi	1098,15	2823,64
1757	Szentkirályszabadja	1078,28	2823,52
1758	Zalaerdőd	1028,3	2823,44
1759	Kulcs	1134,86	2823,4
1760	Egyházashollós	1001,76	2823,38
1761	Nemesvámos	1072,34	2823,23
1762	Vasvár	1008,35	2823,18
1763	Jászkarajenő	1204,03	2823,15
1764	Füle	1094,95	2823,05
1765	Harasztifalu	993,06	2823,04
1766	Perkáta	1127,52	2822,93
1767	Csehimindszent	1017,33	2822,88
1768	Oszkó	1012,56	2822,8
1769	Hetyefő	1029,83	2822,79
1770	Molnaszecsőd	1000,76	2822,68
1771	Ukk	1032,78	2822,66
1772	Csajág	1091,13	2822,63
1773	Gyepükaján	1039,69	2822,62
1774	Sárosd	1119,12	2822,5
1775	Körösszegapáti	1298,13	2822,44
1776	Pinkamindszent	989	2822,34
1777	Csősz	1105,03	2822,26
1778	Magyarszecsőd	998,97	2822,24
1779	Balatonkenese	1086,57	2822,19
1780	Csehi	1016,78	2822,18
1781	Veszprémfajsz	1073,74	2822,16
1782	Ladánybene	1167,52	2822,14
1783	Aba	1111,49	2822,06
1784	Ballószög	1164,5	2822,05
1785	Halimba	1052,21	2822,02
1786	Csabrendek	1037,46	2821,94
1787	Mikosszéplak	1018,62	2821,93
1788	Vezseny	1213,16	2821,9
1789	Nagykőrös	1186,96	2821,88
1790	Balatonalmádi	1080,72	2821,87
1791	Dabronc	1030,09	2821,85
1792	Csökmő	1277,52	2821,78
1793	Dévaványa	1257,74	2821,73
1794	Kunszentmiklós	1147,44	2821,61
1795	Lajosmizse	1173,39	2821,61
1796	Rácalmás	1136,6	2821,51
1797	Tiszajenő	1208,56	2821,46
1798	Magyarhomorog	1292,67	2821,45
1799	Szeghalom	1270,64	2821,33
1800	Gógánfa	1031,29	2821,32
1801	Szőc	1050,93	2821,25
1802	Balatonfőkajár	1092,8	2821,24
1803	Körösszakál	1295,65	2821,2
1804	Martfű	1217,24	2821,19
1805	Zalagyömörő	1033,6	2821,09
1806	Pácsony	1011,44	2821,01
1807	Tass	1141,81	2820,98
1808	Olaszfa	1013,12	2820,94
1809	Felsőörs	1077,25	2820,92
1810	Magyarnádalja	992	2820,9
1811	Bérbaltavár	1018,27	2820,87
1812	Körmend	996,11	2820,84
1813	Vasalja	990,87	2820,77
1814	Döröske	1002,03	2820,76
1815	Soponya	1107,37	2820,7
1816	Kemestaródfa	1008,41	2820,53
1817	Körösnagyharsány	1298,6	2820,53
1818	Tótvázsony	1067,31	2820,51
1819	Zalavég	1021,67	2820,46
1820	Komádi	1289,83	2820,26
1821	Mezőtúr	1237,55	2820,25
1822	Nyirád	1047,06	2820,25
1823	Hidegkút	1069,82	2820,19
1824	Sárkeresztúr	1113,21	2820,16
1825	Kocsér	1195,32	2820,09
1826	Öcs	1056,79	2820,07
1827	Pula	1058,77	2819,85
1828	Nemesmedves	984,15	2819,82
1829	Mezőhék	1223,35	2819,79
1830	Kisvásárhely	1032	2819,75
1831	Hantos	1122,11	2819,66
1832	Lovas	1077,65	2819,64
1833	Szalapa	1028,78	2819,6
1834	Mezőszentgyörgy	1096,99	2819,56
1835	Döbörhegy	1002,23	2819,47
1836	Nagymizdó	999,39	2819,47
1837	Batyk	1022,09	2819,46
1838	Alsóörs	1078,53	2819,41
1839	Lepsény	1094,42	2819,41
1840	Szarvaskend	1000,71	2819,4
1841	Kunbaracs	1164,31	2819,33
1842	Újiráz	1281,46	2819,16
1843	Győrvár	1010,48	2819,11
1844	Paloznak	1076,46	2819,05
1845	Türje	1026,37	2819,02
1846	Nagyvázsony	1061,88	2818,98
1847	Petőmihályfa	1007,23	2818,96
1848	Mihályfa	1031,24	2818,83
1849	Rönök	981,16	2818,81
1850	Barnag	1064,97	2818,8
1851	Katafa	997,99	2818,8
1852	Nagytilaj	1017,84	2818,78
1853	Gersekarát	1004,43	2818,76
1854	Sümeg	1037,07	2818,71
1855	Taliándörögd	1054,24	2818,68
1856	Csákánydoroszló	990,57	2818,65
1857	Nagylók	1118,22	2818,65
1858	Csopak	1075,64	2818,62
1859	Szalkszentmárton	1140,82	2818,61
1860	Balatonvilágos	1089,98	2818,48
1861	Zalabér	1021,82	2818,33
1862	Vöröstó	1063,4	2818,32
1863	Halogy	993,72	2818,28
1864	Hegyhátszentpéter	979,02	2818,25
1865	Sárszentágota	1114,06	2818,24
1866	Biharugra	1295,91	2818,22
1867	Vasszentmihály	984,56	2818,14
1868	Dunaújváros	1136,13	2818,03
1869	Körösújfalu	1284,03	2817,98
1870	Balatonszőlős	1069,63	2817,96
1871	Vigántpetend	1057,79	2817,95
1872	Rátót	985,79	2817,94
1873	Tiszaföldvár	1214,94	2817,89
1874	Nádasd	996,92	2817,87
1875	Gasztony	987,15	2817,85
1876	Andrásfa	1007,76	2817,83
1877	Körösladány	1264,79	2817,75
1878	Óhid	1030,35	2817,74
1879	Hegyhátsál	998,64	2817,69
1880	Kisláng	1103,32	2817,69
1881	Daraboshegy	994,24	2817,61
1882	Gősfa	1011,53	2817,61
1883	Pakod	1020,27	2817,5
1884	Balatonfüred	1073,24	2817,48
1885	Mesterszállás	1225,87	2817,36
1886	Káloz	1108,96	2817,35
1887	Pécsely	1067,13	2817,34
1888	Lakhegy	1009,97	2817,33
1889	Cibakháza	1212,24	2817,32
1890	Kunadacs	1157,32	2817,31
1891	Kapolcs	1056,5	2817,27
1892	Magyarlak	981,25	2817,12
1893	Szentgotthárd	976,57	2817,06
1894	Csörötnek	982,52	2817,05
1895	Halastó	1001,23	2816,94
1896	Mencshely	1062,05	2816,78
1897	Zalaszentgrót	1024,73	2816,74
1898	Sümegcsehi	1033,07	2816,66
1899	Vasboldogasszony	1012,25	2816,65
1900	Dötk	1020,56	2816,64
1901	Sárfimizdó	1003	2816,63
1902	Telekes	1006,15	2816,62
1903	Egervár	1010,78	2816,61
1904	Nagyrév	1208,9	2816,58
1905	Sümegprága	1036,76	2816,54
1906	Rábagyarmat	985,28	2816,53
1907	Vászoly	1065,56	2816,49
1908	Óbudavár	1061,5	2816,28
1909	Ivánc	989,95	2816,26
1910	Kerekegyháza	1168,72	2816,25
1911	Döbröce	1031,36	2816,22
1912	Hegyháthodász	999,47	2816,22
1913	Kisgörbő	1029,52	2816,2
1914	Sáska	1048,66	2816,19
1915	Hegyhátszentmárton	988,89	2816,08
1916	Szentjakabfa	1060,61	2816,06
1917	Tiszakécske	1205,91	2816,05
1918	Felsőmarác	991,35	2816,03
1919	Mezőfalva	1126,84	2815,96
1920	Bazsi	1034,72	2815,95
1921	Gyomaendrőd	1246,9	2815,92
1922	Aszófő	1069,97	2815,8
1923	Vésztő	1275,96	2815,76
1924	Nagygörbő	1030,71	2815,74
1925	Alsószölnök	972,13	2815,69
1926	Balatoncsicsó	1060,18	2815,66
1927	Monostorapáti	1053,63	2815,61
1928	Nagykutas	1008,38	2815,61
1929	Enying	1094,91	2815,46
1930	Pókaszepetk	1018,19	2815,46
1931	Szakonyfalu	973,71	2815,45
1932	Dörgicse	1063,53	2815,35
1933	Mátyásdomb	1100,94	2815,35
1934	Zsadány	1289,27	2815,35
1935	Ozmánbük	1000,52	2815,29
1936	Szentkirály	1195,09	2815,17
1937	Zalaistvánd	1018,9	2815,1
1938	Hegyesd	1051,44	2815,06
1939	Vaspör	999,01	2815,03
1940	Zalaszentlőrinc	1013,19	2815,02
1941	Dunavecse	1138,37	2814,9
1942	Zalahaláp	1047,54	2814,89
1943	Örvényes	1068,93	2814,87
1944	Baracs	1132,08	2814,84
1945	Szentantalfa	1060,42	2814,81
1946	Balatonhenye	1056,99	2814,76
1947	Kiskutas	1007,94	2814,67
1948	Kispáli	1009,74	2814,67
1949	Nagypáli	1010,73	2814,62
1950	Tihany	1073,42	2814,57
1951	Siófok	1083,92	2814,54
1952	Kecskemét	1181,57	2814,53
1953	Hagyárosbörönd	1002,3	2814,48
1954	Kemendollár	1016,86	2814,33
1955	Tagyon	1060,89	2814,21
1956	Öcsöd	1223,54	2814,16
1957	Monoszló	1058,45	2814,15
1958	Balatonudvari	1068,15	2814,08
1959	Tiszainoka	1209,22	2814,07
1960	Zalaboldogfa	1006,29	2813,99
1961	Okány	1281,01	2813,95
1962	Vindornyaszőlős	1029,28	2813,91
1963	Apátistvánfalva	975,33	2813,82
1964	Kisapostag	1136,06	2813,82
1965	Kondorfa	983,87	2813,81
1966	Sénye	1028,1	2813,72
1967	Uzsa	1040,19	2813,69
1968	Fülöpháza	1166,72	2813,57
1969	Zalaszentiván	1013,97	2813,53
1970	Balatonszabadi	1087,99	2813,49
1971	Őrimagyarósd	992,22	2813,34
1972	Vöckönd	1017,31	2813,32
1973	Zalaháshágy	997,74	2813,32
1974	Szentbékkálla	1053,84	2813,31
1975	Vindornyalak	1031,69	2813,23
1976	Sárbogárd	1117,35	2813,22
1977	Szőce	994,22	2813,21
1978	Kétvölgy	973,31	2813,18
1979	Zalaszántó	1033,51	2813,18
1980	Tapolca	1046,39	2813,14
1981	Gyűrűs	1019,53	2813,08
1982	Viszák	989,87	2813,07
1983	Alibánfa	1015,39	2813,05
1984	Apostag	1137,87	2813,01
1985	Köveskál	1056,43	2812,99
1986	Balatonakali	1065,49	2812,98
1987	Geszt	1294,88	2812,98
1988	Tiszakürt	1207,52	2812,98
1989	Orfalu	976,16	2812,81
1990	Zamárdi	1076,87	2812,74
1991	Siójut	1088,29	2812,73
1992	Bagod	1005,11	2812,71
1993	Köröstarcsa	1261,54	2812,7
1994	Felsőszölnök	969,7	2812,65
1995	Pethőhenye	1015,01	2812,64
1996	Zalaszentlászló	1026,84	2812,59
1997	Szabadszállás	1153,3	2812,58
1998	Lakitelek	1199,67	2812,56
1999	Zánka	1061,31	2812,45
2000	Mindszentkálla	1053,13	2812,43
2001	Dég	1106,77	2812,42
2002	Újsolt	1147,16	2812,38
2003	Zalaszentgyörgy	1002,26	2812,38
2004	Bélmegyer	1271,08	2812,33
2005	Kallósd	1023,97	2812,27
2006	Békésszentandrás	1229,05	2812,26
2007	Lesenceistvánd	1041,59	2812,23
2008	Boncodfölde	1004,29	2812,19
2009	Bezeréd	1020,83	2812,18
2010	Mezőgyán	1291,39	2812,18
2011	Nagykarácsony	1126,47	2812,18
2012	Gyulakeszi	1048,92	2812,16
2013	Várvölgy	1037,88	2812,14
2014	Szántód	1074,36	2812,13
2015	Nemesapáti	1017,05	2812,11
2016	Hegyhátszentjakab	992,92	2812,04
2017	Cserkeszőlő	1212,55	2811,98
2018	Szarvas	1233,35	2811,94
2019	Szalafő	981,72	2811,89
2020	Csárdaszállás	1256,22	2811,88
2021	Szaknyér	991,71	2811,86
2022	Ispánk	986,69	2811,85
2023	Kávás	1002,66	2811,78
2024	Zalacséb	999,56	2811,65
2025	Nyárlőrinc	1192,59	2811,58
2026	Kisrákos	990,16	2811,49
2027	Lesencetomaj	1041,92	2811,49
2028	Vindornyafok	1030,74	2811,46
2029	Ádánd	1089,52	2811,37
2030	Alsónemesapáti	1016,37	2811,27
2031	Balatonszepezd	1059,78	2811,26
2032	Padár	1021,04	2811,14
2033	Tiszaug	1203,36	2811,14
2034	Balatonföldvár	1072,86	2811,13
2035	Nagyvenyim	1134,65	2811,12
2036	Orbányosfa	1019,02	2811,12
2037	Kékkút	1053,64	2811,06
2038	Salomvár	999,68	2811,05
2039	Teskánd	1006,51	2811,04
2040	Káptalantóti	1051,02	2810,99
2041	Kővágóörs	1056,08	2810,98
2042	Raposka	1045,59	2810,92
2043	Zalalövő	995,78	2810,89
2044	Felsőjánosfa	993,28	2810,88
2045	Zalaköveskút	1028,63	2810,88
2046	Hottó	1005,11	2810,87
2047	Lesencefalu	1040,71	2810,7
2048	Őriszentpéter	985,33	2810,7
2049	Vállus	1038,18	2810,67
2050	Kisapáti	1048,17	2810,65
2051	Almásháza	1022,99	2810,61
2052	Lajoskomárom	1100,44	2810,6
2053	Rezi	1033,26	2810,54
2054	Ágasegyháza	1167,22	2810,43
2055	Dunaegyháza	1137,66	2810,39
2056	Keménfa	998,35	2810,38
2057	Pankasz	990,08	2810,36
2058	Balatonendréd	1078,47	2810,34
2059	Böde	1003,17	2810,31
2060	Helvécia	1177,34	2810,28
2061	Kunszentmárton	1217,2	2810,22
2062	Ságvár	1086,18	2810,21
2063	Karmacs	1030,43	2810,17
2064	Kehidakustyán	1026,37	2810,17
2065	Nemesgulács	1049,08	2810,12
2066	Salföld	1052,94	2810,11
2067	Zalaegerszeg	1010,31	2810,1
2068	Hegymagas	1046,04	2810,09
2069	Nagyrákos	987,61	2809,98
2070	Előszállás	1129,39	2809,92
2071	Örménykút	1244,29	2809,87
2072	Kőröshegy	1073,96	2809,86
2073	Balatonszárszó	1070,11	2809,76
2074	Mezőkomárom	1097,66	2809,71
2075	Révfülöp	1057,69	2809,7
2076	Balatonrendes	1054,96	2809,65
2077	Nemesbük	1028,72	2809,51
2078	Csabacsűd	1239,12	2809,49
2079	Ligetfalva	1023,71	2809,48
2080	Mezőberény	1261,8	2809,45
2081	Nemesvita	1042,1	2809,39
2082	Szabadhidvég	1096,92	2809,39
2083	Dobronhegy	1005,14	2809,24
2084	Nagykapornak	1019,67	2809,22
2085	Tiszasas	1204,97	2809,2
2086	Fülöpszállás	1154,25	2809,19
2087	Kisbucsa	1016,58	2809,16
2088	Tiszaalpár	1199,47	2809,16
2089	Csöde	992,04	2809,13
2090	Városföld	1185,57	2809,02
2091	Németfalu	1001,29	2808,99
2092	Ábrahámhegy	1054,36	2808,96
2093	Babosdöbréte	1006,75	2808,83
2094	Kerkáskápolna	989,56	2808,78
2095	Hunya	1250,86	2808,72
2096	Sarkadkeresztúr	1282,98	2808,71
2097	Újszalonta	1289,51	2808,69
2098	Mezőszilas	1108,78	2808,65
2099	Tarhos	1272,83	2808,65
2100	Badacsonytördemic	1048,44	2808,64
2101	Tilaj	1022,78	2808,55
2102	Badacsonytomaj	1050,8	2808,52
2103	Balatonszemes	1066,57	2808,5
2104	Alap	1121,35	2808,47
2105	Balatonőszöd	1068,06	2808,47
2106	Zalacsány	1026,39	2808,46
2107	Cserszegtomaj	1034,07	2808,39
2108	Balatonederics	1042,89	2808,36
2109	Misefa	1019,23	2808,3
2110	Som	1088,56	2808,27
2111	Izsák	1161,19	2808,25
2112	Nyim	1086,46	2808,15
2113	Csépa	1207,95	2808,13
2114	Solt	1140,16	2808,12
2115	Bajánsenye	983,15	2808,1
2116	Csonkahegyhát	1003,23	2808,07
2117	Szelevény	1212,09	2808,07
2118	Nemeshetés	1014,84	2808,03
2119	Szatta	988,88	2807,94
2120	Nagyberény	1090,39	2807,86
2121	Alsószentiván	1124	2807,74
2122	Szigliget	1046,1	2807,74
2123	Kereki	1074,79	2807,72
2124	Kardos	1243,04	2807,66
2125	Felsőnyék	1097,8	2807,6
2126	Hévíz	1031,26	2807,52
2127	Lulla	1081,42	2807,42
2128	Milejszeg	1004,34	2807,42
2129	Kercaszomor	981,14	2807,41
2130	Bucsuszentlászló	1016,12	2807,36
2131	Dunaföldvár	1135,45	2807,29
2132	Szólád	1070,56	2807,19
2133	Nemessándorháza	1017,11	2807,18
2134	Felsőpáhok	1029,51	2807,15
2135	Kustánszeg	1000,83	2807,1
2136	Balatonlelle	1062,1	2806,92
2137	Nagylengyel	1006	2806,91
2138	Pálfiszeg	1003,84	2806,89
2139	Bálványos	1077,19	2806,86
2140	Sáregres	1115,71	2806,83
2141	Bocfölde	1010,57	2806,81
2142	Csatár	1012,37	2806,74
2143	Igar	1110,98	2806,72
2144	Nemesrádó	1019,78	2806,71
2145	Méhkerék	1286,86	2806,61
2146	Ramocsa	986,8	2806,61
2147	Magyarföld	985,19	2806,6
2148	Bókaháza	1026,36	2806,5
2149	Nemesszentandrás	1016,73	2806,49
2150	Balatonboglár	1059,63	2806,43
2151	Cece	1117,75	2806,38
2152	Békés	1268,01	2806,37
2153	Soltszentimre	1157,03	2806,36
2154	Gyenesdiás	1037,42	2806,29
2155	Keszthely	1035,2	2806,23
2156	Teleki	1069,56	2806,21
2157	Kerkafalva	989,3	2806,19
2158	Pusztaszemes	1075,43	2806,17
2159	Alsópáhok	1030,35	2806,16
2160	Torvaj	1082,69	2806,06
2161	Kozmadombja	993,26	2806,04
2162	Sérsekszőlős	1080,99	2805,93
